,date,totalRequests,successfulRequests,failedRequests
0,2021-01-01,2461,2416,45
1,2021-01-02,412,398,14
2,2021-01-03,344,336,8
3,2021-01-04,2528,2475,53
4,2021-01-05,1430,1393,37
5,2021-01-06,1123,1114,9
6,2021-01-07,1122,1110,12
7,2021-01-08,1318,1278,40
8,2021-01-09,1379,1337,42
9,2021-01-10,21,21,0
10,2021-01-11,2069,1967,102
11,2021-01-12,1294,1232,62
12,2021-01-13,854,833,21
13,2021-01-14,1983,1930,53
14,2021-01-15,1528,1485,43
15,2021-01-16,68,67,1
16,2021-01-17,865,826,39
17,2021-01-18,190,188,2
18,2021-01-19,1251,1211,40
19,2021-01-20,3441,3271,170
20,2021-01-21,4624,4551,73
21,2021-01-22,1106,1073,33
22,2021-01-23,176,169,7
23,2021-01-24,211,206,5
24,2021-01-25,1550,1481,69
25,2021-01-26,2625,2550,75
26,2021-01-27,2119,2066,53
27,2021-01-28,1035,1019,16
28,2021-01-29,3341,3244,97
29,2021-01-30,4428,4367,61
30,2021-01-31,989,980,9
31,2021-02-01,1304,1274,30
32,2021-02-02,3563,3559,4
33,2021-02-03,2816,2793,23
34,2021-02-04,3402,3339,63
35,2021-02-05,3436,3373,63
36,2021-02-06,2719,2589,130
37,2021-02-07,622,611,11
38,2021-02-08,960,951,9
39,2021-02-09,3901,3782,119
40,2021-02-10,854,817,37
41,2021-02-11,1798,1765,33
42,2021-02-12,2329,2282,47
43,2021-02-13,2532,2515,17
44,2021-02-14,3880,3708,172
45,2021-02-15,1486,1437,49
46,2021-02-16,408,406,2
47,2021-02-17,1416,1367,49
48,2021-02-18,382,371,11
49,2021-02-19,3232,3092,140
50,2021-02-20,1310,1293,17
51,2021-02-21,3632,3610,22
52,2021-02-22,4521,4430,91
53,2021-02-23,76,75,1
54,2021-02-24,498,494,4
55,2021-02-25,3661,3626,35
56,2021-02-26,3399,3358,41
57,2021-02-27,1478,1447,31
58,2021-02-28,3561,3445,116
59,2021-03-01,3981,3957,24
60,2021-03-02,4461,4311,150
61,2021-03-03,3433,3286,147
62,2021-03-04,2134,2073,61
63,2021-03-05,3178,3140,38
64,2021-03-06,3998,3994,4
65,2021-03-07,2818,2787,31
66,2021-03-08,2071,1981,90
67,2021-03-09,4972,4745,227
68,2021-03-10,2023,1938,85
69,2021-03-11,945,908,37
70,2021-03-12,4110,3990,120
71,2021-03-13,2898,2773,125
72,2021-03-14,1661,1585,76
73,2021-03-15,4706,4559,147
74,2021-03-16,4765,4681,84
75,2021-03-17,2432,2359,73
76,2021-03-18,2643,2535,108
77,2021-03-19,521,506,15
78,2021-03-20,532,519,13
79,2021-03-21,1202,1182,20
80,2021-03-22,3464,3419,45
81,2021-03-23,1846,1759,87
82,2021-03-24,32,31,1
83,2021-03-25,4465,4258,207
84,2021-03-26,3536,3433,103
85,2021-03-27,586,580,6
86,2021-03-28,814,802,12
87,2021-03-29,2008,1917,91
88,2021-03-30,4631,4489,142
89,2021-03-31,2625,2504,121
90,2021-04-01,4520,4467,53
91,2021-04-02,331,317,14
92,2021-04-03,5000,4844,156
93,2021-04-04,4043,4017,26
94,2021-04-05,2871,2800,71
95,2021-04-06,1711,1687,24
96,2021-04-07,2145,2141,4
97,2021-04-08,614,599,15
98,2021-04-09,4662,4534,128
99,2021-04-10,3863,3697,166
100,2021-04-11,317,302,15
101,2021-04-12,1973,1877,96
102,2021-04-13,2093,2084,9
103,2021-04-14,421,417,4
104,2021-04-15,971,932,39
105,2021-04-16,4761,4717,44
106,2021-04-17,3594,3466,128
107,2021-04-18,3856,3755,101
108,2021-04-19,3238,3138,100
109,2021-04-20,2842,2835,7
110,2021-04-21,475,461,14
111,2021-04-22,4680,4454,226
112,2021-04-23,3980,3976,4
113,2021-04-24,4071,4046,25
114,2021-04-25,663,661,2
115,2021-04-26,4587,4577,10
116,2021-04-27,2794,2723,71
117,2021-04-28,1022,982,40
118,2021-04-29,2666,2537,129
119,2021-04-30,2118,2109,9
120,2021-05-01,1381,1370,11
121,2021-05-02,1712,1660,52
122,2021-05-03,3947,3938,9
123,2021-05-04,2964,2955,9
124,2021-05-05,3724,3584,140
125,2021-05-06,1470,1446,24
126,2021-05-07,4107,3971,136
127,2021-05-08,2919,2868,51
128,2021-05-09,4783,4546,237
129,2021-05-10,3034,2913,121
130,2021-05-11,4111,4084,27
131,2021-05-12,1309,1247,62
132,2021-05-13,3325,3303,22
133,2021-05-14,2300,2260,40
134,2021-05-15,1734,1650,84
135,2021-05-16,2708,2574,134
136,2021-05-17,1266,1262,4
137,2021-05-18,4023,3952,71
138,2021-05-19,2863,2733,130
139,2021-05-20,1048,998,50
140,2021-05-21,3220,3082,138
141,2021-05-22,2716,2692,24
142,2021-05-23,2122,2059,63
143,2021-05-24,1260,1230,30
144,2021-05-25,1427,1364,63
145,2021-05-26,1554,1484,70
146,2021-05-27,808,775,33
147,2021-05-28,4267,4121,146
148,2021-05-29,2503,2491,12
149,2021-05-30,1076,1032,44
150,2021-05-31,4518,4357,161
151,2021-06-01,4037,3944,93
152,2021-06-02,2677,2604,73
153,2021-06-03,2088,2046,42
154,2021-06-04,3998,3941,57
155,2021-06-05,4407,4231,176
156,2021-06-06,908,901,7
157,2021-06-07,1359,1352,7
158,2021-06-08,2779,2758,21
