,date,total,successful,failed
0,2021-01-01,6970,6928,42
1,2021-01-02,28775,26237,2538
2,2021-01-03,4904,4539,365
3,2021-01-04,15834,15461,373
4,2021-01-05,41642,38756,2886
5,2021-01-06,17237,15544,1693
6,2021-01-07,43395,42767,628
7,2021-01-08,12269,12018,251
8,2021-01-09,40261,38389,1872
9,2021-01-10,23148,22722,426
10,2021-01-11,10234,9457,777
11,2021-01-12,11509,11077,432
12,2021-01-13,16397,15300,1097
13,2021-01-14,38718,36378,2340
14,2021-01-15,46769,45448,1321
15,2021-01-16,5348,5170,178
16,2021-01-17,18000,17511,489
17,2021-01-18,12405,11836,569
18,2021-01-19,1591,1433,158
19,2021-01-20,28664,27904,760
20,2021-01-21,20625,20342,283
21,2021-01-22,37708,35133,2575
22,2021-01-23,35845,34333,1512
23,2021-01-24,1455,1446,9
24,2021-01-25,35420,33656,1764
25,2021-01-26,35051,31819,3232
26,2021-01-27,41178,37294,3884
27,2021-01-28,22512,20874,1638
28,2021-01-29,8396,8095,301
29,2021-01-30,1861,1789,72
30,2021-01-31,12273,11689,584
31,2021-02-01,24918,24098,820
32,2021-02-02,19761,19421,340
33,2021-02-03,12408,11556,852
34,2021-02-04,32494,31319,1175
35,2021-02-05,33573,30441,3132
36,2021-02-06,25694,24027,1667
37,2021-02-07,48561,47449,1112
38,2021-02-08,42564,40449,2115
39,2021-02-09,33741,32787,954
40,2021-02-10,19738,19307,431
41,2021-02-11,9073,8515,558
42,2021-02-12,45241,44367,874
43,2021-02-13,44730,41112,3618
44,2021-02-14,46998,45156,1842
45,2021-02-15,42260,39777,2483
46,2021-02-16,26270,25537,733
47,2021-02-17,17864,16494,1370
48,2021-02-18,16065,15292,773
49,2021-02-19,35688,32167,3521
50,2021-02-20,1539,1391,148
51,2021-02-21,2271,2082,189
52,2021-02-22,29031,26296,2735
53,2021-02-23,47192,46445,747
54,2021-02-24,14148,13353,795
55,2021-02-25,21814,21142,672
56,2021-02-26,18949,18668,281
57,2021-02-27,20050,18754,1296
58,2021-02-28,41112,37106,4006
59,2021-03-01,33300,32258,1042
60,2021-03-02,10093,9364,729
61,2021-03-03,38391,35640,2751
62,2021-03-04,9143,9114,29
63,2021-03-05,45666,43907,1759
64,2021-03-06,130,127,3
65,2021-03-07,44285,42477,1808
66,2021-03-08,1785,1677,108
67,2021-03-09,15638,14200,1438
68,2021-03-10,14607,13410,1197
69,2021-03-11,29752,27436,2316
70,2021-03-12,22162,22054,108
71,2021-03-13,2866,2704,162
72,2021-03-14,23492,23284,208
73,2021-03-15,39071,38729,342
74,2021-03-16,17395,16166,1229
75,2021-03-17,41108,40503,605
76,2021-03-18,2050,1989,61
77,2021-03-19,16376,15471,905
78,2021-03-20,9439,9186,253
79,2021-03-21,26481,24746,1735
80,2021-03-22,32480,29629,2851
81,2021-03-23,21396,21163,233
82,2021-03-24,14010,13042,968
83,2021-03-25,22040,21252,788
84,2021-03-26,23550,22004,1546
85,2021-03-27,42124,41774,350
86,2021-03-28,46274,44001,2273
87,2021-03-29,41845,38360,3485
88,2021-03-30,25834,24453,1381
89,2021-03-31,8816,8563,253
90,2021-04-01,33456,32101,1355
91,2021-04-02,38528,34850,3678
92,2021-04-03,39550,36489,3061
93,2021-04-04,35707,35207,500
94,2021-04-05,27128,24579,2549
95,2021-04-06,29255,29143,112
96,2021-04-07,40247,36550,3697
97,2021-04-08,38044,36865,1179
98,2021-04-09,22780,21044,1736
99,2021-04-10,12438,12152,286
100,2021-04-11,43780,41681,2099
101,2021-04-12,28243,27970,273
102,2021-04-13,35166,34210,956
103,2021-04-14,47372,46141,1231
104,2021-04-15,47685,46561,1124
105,2021-04-16,29931,29396,535
106,2021-04-17,14754,13741,1013
107,2021-04-18,2030,1848,182
108,2021-04-19,18552,17997,555
109,2021-04-20,40977,38843,2134
110,2021-04-21,1692,1552,140
111,2021-04-22,49963,45643,4320
112,2021-04-23,49321,47867,1454
113,2021-04-24,26618,24826,1792
114,2021-04-25,35208,34094,1114
115,2021-04-26,14428,13900,528
116,2021-04-27,48448,46088,2360
117,2021-04-28,21015,19240,1775
118,2021-04-29,21775,20021,1754
119,2021-04-30,36901,36066,835
120,2021-05-01,14070,13996,74
121,2021-05-02,12486,11757,729
122,2021-05-03,5014,4822,192
123,2021-05-04,46792,45143,1649
124,2021-05-05,42310,40489,1821
125,2021-05-06,4711,4671,40
126,2021-05-07,47282,44532,2750
127,2021-05-08,32606,32553,53
128,2021-05-09,6648,6523,125
129,2021-05-10,8627,7959,668
130,2021-05-11,14284,14162,122
131,2021-05-12,39056,37274,1782
132,2021-05-13,26880,26552,328
133,2021-05-14,10463,10401,62
134,2021-05-15,17790,16857,933
135,2021-05-16,8136,7719,417
136,2021-05-17,46685,46319,366
137,2021-05-18,49373,45170,4203
138,2021-05-19,918,887,31
139,2021-05-20,1702,1603,99
140,2021-05-21,15824,14769,1055
141,2021-05-22,7016,6326,690
142,2021-05-23,32962,30191,2771
143,2021-05-24,15037,14529,508
144,2021-05-25,39773,36211,3562
145,2021-05-26,21549,20353,1196
146,2021-05-27,44366,42625,1741
