,date,minimum,maximum,average
0,2021-01-01,96,1928,171
1,2021-01-02,55,4854,65
2,2021-01-03,136,4524,147
3,2021-01-04,42,4413,186
4,2021-01-05,70,4274,85
5,2021-01-06,58,4843,78
6,2021-01-07,34,4545,156
7,2021-01-08,58,474,73
8,2021-01-09,56,2618,104
9,2021-01-10,143,900,150
10,2021-01-11,164,1224,187
11,2021-01-12,23,3372,32
12,2021-01-13,33,2847,52
13,2021-01-14,29,2348,64
14,2021-01-15,67,2237,138
15,2021-01-16,42,3047,118
16,2021-01-17,52,4082,72
17,2021-01-18,52,4810,194
18,2021-01-19,50,3699,140
19,2021-01-20,103,1578,157
20,2021-01-21,20,910,95
21,2021-01-22,37,3287,86
22,2021-01-23,43,3740,44
23,2021-01-24,105,4872,105
24,2021-01-25,157,810,173
25,2021-01-26,56,2513,160
26,2021-01-27,67,1103,153
27,2021-01-28,126,2404,170
28,2021-01-29,106,3184,125
29,2021-01-30,22,4699,64
30,2021-01-31,20,4314,22
31,2021-02-01,63,111,76
32,2021-02-02,121,1615,149
33,2021-02-03,21,2001,30
34,2021-02-04,30,4007,181
35,2021-02-05,21,4587,81
36,2021-02-06,66,2837,167
37,2021-02-07,25,1389,32
38,2021-02-08,89,2479,137
39,2021-02-09,22,995,148
40,2021-02-10,33,3445,82
41,2021-02-11,143,765,150
42,2021-02-12,73,3558,179
43,2021-02-13,90,3373,192
44,2021-02-14,47,3089,104
45,2021-02-15,25,3537,123
46,2021-02-16,22,4226,22
47,2021-02-17,38,1458,57
48,2021-02-18,141,3519,154
49,2021-02-19,74,2355,130
50,2021-02-20,26,3435,59
51,2021-02-21,23,3908,53
52,2021-02-22,162,3838,191
53,2021-02-23,98,2218,153
54,2021-02-24,30,4014,175
55,2021-02-25,113,1514,144
56,2021-02-26,25,2819,28
57,2021-02-27,69,985,173
58,2021-02-28,72,4855,130
59,2021-03-01,56,3809,89
60,2021-03-02,105,1781,129
61,2021-03-03,20,1678,30
62,2021-03-04,75,4449,135
63,2021-03-05,92,4215,125
64,2021-03-06,160,3802,160
65,2021-03-07,74,3776,92
66,2021-03-08,75,4854,100
67,2021-03-09,24,1533,99
68,2021-03-10,108,767,152
69,2021-03-11,84,1221,128
70,2021-03-12,139,1207,151
71,2021-03-13,23,2153,138
72,2021-03-14,55,1172,55
73,2021-03-15,97,1750,159
74,2021-03-16,23,4891,24
75,2021-03-17,63,4094,142
76,2021-03-18,65,3829,112
77,2021-03-19,79,2975,189
78,2021-03-20,33,4743,139
79,2021-03-21,65,3921,86
