,date,totalRequests,successfulRequests,failedRequests
0,2021-01-01,4772,4762,10
1,2021-01-02,1490,1465,25
2,2021-01-03,820,800,20
3,2021-01-04,4672,4528,144
4,2021-01-05,4091,3989,102
5,2021-01-06,2047,1966,81
6,2021-01-07,3017,2988,29
7,2021-01-08,488,465,23
8,2021-01-09,4956,4767,189
9,2021-01-10,2957,2878,79
10,2021-01-11,1337,1324,13
11,2021-01-12,1723,1653,70
12,2021-01-13,4409,4370,39
13,2021-01-14,4750,4612,138
14,2021-01-15,2817,2789,28
15,2021-01-16,973,955,18
16,2021-01-17,3589,3502,87
17,2021-01-18,837,834,3
18,2021-01-19,766,730,36
19,2021-01-20,4383,4173,210
20,2021-01-21,1679,1652,27
21,2021-01-22,1250,1200,50
22,2021-01-23,3952,3917,35
23,2021-01-24,120,116,4
24,2021-01-25,4288,4141,147
25,2021-01-26,4811,4793,18
26,2021-01-27,3804,3757,47
27,2021-01-28,1371,1362,9
28,2021-01-29,4129,4085,44
29,2021-01-30,1146,1092,54
30,2021-01-31,4177,3972,205
31,2021-02-01,293,289,4
32,2021-02-02,3469,3326,143
33,2021-02-03,206,199,7
34,2021-02-04,1949,1917,32
35,2021-02-05,4180,3996,184
36,2021-02-06,956,940,16
37,2021-02-07,183,182,1
38,2021-02-08,2607,2531,76
39,2021-02-09,754,749,5
40,2021-02-10,2235,2206,29
41,2021-02-11,4811,4603,208
42,2021-02-12,867,862,5
43,2021-02-13,4829,4629,200
44,2021-02-14,1812,1809,3
45,2021-02-15,533,517,16
46,2021-02-16,1058,1018,40
47,2021-02-17,3813,3640,173
48,2021-02-18,2244,2138,106
49,2021-02-19,570,544,26
50,2021-02-20,3740,3717,23
51,2021-02-21,700,678,22
52,2021-02-22,1127,1101,26
53,2021-02-23,1828,1743,85
54,2021-02-24,579,564,15
55,2021-02-25,1322,1276,46
56,2021-02-26,4088,4011,77
57,2021-02-27,3658,3492,166
58,2021-02-28,4602,4436,166
59,2021-03-01,3802,3716,86
60,2021-03-02,4893,4676,217
61,2021-03-03,287,275,12
62,2021-03-04,1537,1479,58
63,2021-03-05,218,216,2
64,2021-03-06,78,75,3
65,2021-03-07,4426,4348,78
66,2021-03-08,3484,3353,131
67,2021-03-09,2090,2036,54
68,2021-03-10,3103,3011,92
69,2021-03-11,846,817,29
70,2021-03-12,2294,2240,54
71,2021-03-13,1962,1956,6
72,2021-03-14,18,18,0
73,2021-03-15,3743,3669,74
74,2021-03-16,1270,1229,41
75,2021-03-17,4512,4485,27
76,2021-03-18,4128,3983,145
77,2021-03-19,503,499,4
78,2021-03-20,1979,1886,93
79,2021-03-21,3379,3242,137
80,2021-03-22,2290,2218,72
81,2021-03-23,341,336,5
82,2021-03-24,2696,2693,3
83,2021-03-25,1767,1717,50
84,2021-03-26,4704,4539,165
85,2021-03-27,3159,3064,95
86,2021-03-28,4066,4020,46
87,2021-03-29,606,590,16
88,2021-03-30,2224,2218,6
89,2021-03-31,3938,3869,69
90,2021-04-01,2187,2105,82
91,2021-04-02,3518,3446,72
92,2021-04-03,91,91,0
93,2021-04-04,2005,1965,40
94,2021-04-05,4164,4113,51
95,2021-04-06,717,686,31
96,2021-04-07,3819,3671,148
97,2021-04-08,4777,4608,169
98,2021-04-09,3706,3693,13
99,2021-04-10,1447,1406,41
100,2021-04-11,366,349,17
