,date,total,successful,failed
0,2021-01-01,36816,35696,1120
1,2021-01-02,11811,11238,573
2,2021-01-03,3474,3407,67
3,2021-01-04,37871,34651,3220
4,2021-01-05,20345,19515,830
5,2021-01-06,27035,24673,2362
6,2021-01-07,24004,23810,194
7,2021-01-08,18386,17569,817
8,2021-01-09,44960,44772,188
9,2021-01-10,23390,23123,267
10,2021-01-11,14725,14410,315
11,2021-01-12,27939,26449,1490
12,2021-01-13,35634,34982,652
13,2021-01-14,46209,44087,2122
14,2021-01-15,12251,12068,183
15,2021-01-16,24080,22669,1411
16,2021-01-17,28058,27550,508
17,2021-01-18,35321,33679,1642
18,2021-01-19,37067,35176,1891
19,2021-01-20,29831,27077,2754
20,2021-01-21,40277,38917,1360
21,2021-01-22,12736,11749,987
22,2021-01-23,21109,20730,379
23,2021-01-24,38672,38382,290
24,2021-01-25,19742,18511,1231
25,2021-01-26,42647,39894,2753
26,2021-01-27,1581,1485,96
27,2021-01-28,14693,13422,1271
28,2021-01-29,28704,27619,1085
29,2021-01-30,45525,43778,1747
30,2021-01-31,36868,34260,2608
31,2021-02-01,21486,21209,277
32,2021-02-02,40555,37119,3436
33,2021-02-03,32744,30495,2249
34,2021-02-04,31475,28401,3074
35,2021-02-05,8804,8677,127
36,2021-02-06,11604,11564,40
37,2021-02-07,22317,20547,1770
38,2021-02-08,39783,37704,2079
39,2021-02-09,31890,29607,2283
40,2021-02-10,19680,17989,1691
41,2021-02-11,48307,45009,3298
42,2021-02-12,8754,8389,365
43,2021-02-13,11013,10456,557
44,2021-02-14,46037,42969,3068
45,2021-02-15,33989,31062,2927
46,2021-02-16,32680,30092,2588
47,2021-02-17,41173,39964,1209
48,2021-02-18,37873,36520,1353
49,2021-02-19,43166,40723,2443
50,2021-02-20,46698,44284,2414
51,2021-02-21,42876,42856,20
52,2021-02-22,13709,12516,1193
53,2021-02-23,34379,33171,1208
54,2021-02-24,8253,7706,547
55,2021-02-25,17988,17132,856
56,2021-02-26,17265,17184,81
57,2021-02-27,49059,48798,261
58,2021-02-28,40419,38576,1843
59,2021-03-01,43209,39638,3571
60,2021-03-02,4289,3939,350
61,2021-03-03,9871,8995,876
62,2021-03-04,37743,34330,3413
63,2021-03-05,186,182,4
64,2021-03-06,39127,37245,1882
65,2021-03-07,5280,5002,278
66,2021-03-08,13328,12158,1170
67,2021-03-09,33451,32030,1421
68,2021-03-10,15041,14793,248
69,2021-03-11,37929,37551,378
70,2021-03-12,13699,12998,701
71,2021-03-13,10694,10415,279
72,2021-03-14,40923,38903,2020
73,2021-03-15,8223,8110,113
74,2021-03-16,9156,8669,487
75,2021-03-17,19216,18613,603
76,2021-03-18,46380,45949,431
77,2021-03-19,42543,40227,2316
