,date,minimum,maximum,average
0,2021-01-01,41,1964,60
1,2021-01-02,97,989,166
2,2021-01-03,98,3126,162
3,2021-01-04,101,4654,112
4,2021-01-05,33,1904,125
5,2021-01-06,21,4734,143
6,2021-01-07,155,3056,170
7,2021-01-08,22,1062,41
8,2021-01-09,20,1624,55
9,2021-01-10,177,4451,200
10,2021-01-11,99,3168,142
11,2021-01-12,30,2392,59
12,2021-01-13,54,3618,181
13,2021-01-14,34,4771,99
14,2021-01-15,178,389,194
15,2021-01-16,49,4838,116
16,2021-01-17,118,4992,131
17,2021-01-18,68,1175,141
18,2021-01-19,54,3571,65
19,2021-01-20,31,2469,75
20,2021-01-21,70,3171,77
21,2021-01-22,88,2161,171
22,2021-01-23,25,4847,110
23,2021-01-24,134,2331,148
24,2021-01-25,137,1672,163
25,2021-01-26,127,4434,172
26,2021-01-27,25,1364,101
27,2021-01-28,87,3764,100
28,2021-01-29,28,3655,41
29,2021-01-30,51,2962,148
30,2021-01-31,49,4597,63
31,2021-02-01,63,2636,83
32,2021-02-02,79,4603,89
33,2021-02-03,36,2186,42
34,2021-02-04,22,242,83
35,2021-02-05,111,3035,141
36,2021-02-06,34,3711,37
37,2021-02-07,35,1085,112
38,2021-02-08,105,2647,106
39,2021-02-09,43,4404,83
40,2021-02-10,33,1261,98
41,2021-02-11,35,1320,56
42,2021-02-12,40,4724,165
43,2021-02-13,68,2878,159
44,2021-02-14,26,223,92
45,2021-02-15,96,3593,197
46,2021-02-16,29,2778,66
47,2021-02-17,97,1338,102
48,2021-02-18,113,1278,141
49,2021-02-19,37,508,57
50,2021-02-20,84,3582,101
51,2021-02-21,31,3561,39
52,2021-02-22,81,2741,162
53,2021-02-23,42,1013,132
54,2021-02-24,20,1571,20
55,2021-02-25,27,719,45
56,2021-02-26,68,4630,98
57,2021-02-27,28,2900,51
58,2021-02-28,34,2324,88
59,2021-03-01,175,1696,192
60,2021-03-02,81,2839,142
61,2021-03-03,24,1866,47
62,2021-03-04,85,1828,108
63,2021-03-05,37,1238,75
64,2021-03-06,34,4708,47
65,2021-03-07,66,1483,116
66,2021-03-08,71,355,118
67,2021-03-09,37,888,124
68,2021-03-10,94,3511,99
69,2021-03-11,74,1229,119
70,2021-03-12,133,4530,196
71,2021-03-13,43,1741,62
72,2021-03-14,128,3922,143
73,2021-03-15,24,4430,30
74,2021-03-16,50,336,109
75,2021-03-17,26,2859,28
76,2021-03-18,187,2018,194
77,2021-03-19,20,4205,85
78,2021-03-20,36,2428,47
79,2021-03-21,108,2520,111
80,2021-03-22,72,4197,131
81,2021-03-23,170,1816,188
82,2021-03-24,30,1271,153
83,2021-03-25,78,1763,97
84,2021-03-26,32,3170,181
