,date,totalRequests,successfulRequests,failedRequests
0,2021-01-01,2654,2598,56
1,2021-01-02,525,514,11
2,2021-01-03,470,460,10
3,2021-01-04,4361,4218,143
4,2021-01-05,1193,1148,45
5,2021-01-06,4893,4784,109
6,2021-01-07,2537,2425,112
7,2021-01-08,3160,3049,111
8,2021-01-09,4554,4474,80
9,2021-01-10,3411,3303,108
10,2021-01-11,2392,2328,64
11,2021-01-12,4965,4845,120
12,2021-01-13,2370,2296,74
13,2021-01-14,682,682,0
14,2021-01-15,1720,1665,55
15,2021-01-16,3127,2999,128
16,2021-01-17,3503,3387,116
17,2021-01-18,3375,3318,57
18,2021-01-19,129,125,4
19,2021-01-20,3165,3126,39
20,2021-01-21,3324,3253,71
21,2021-01-22,125,123,2
22,2021-01-23,688,688,0
23,2021-01-24,1792,1743,49
24,2021-01-25,1458,1438,20
25,2021-01-26,2236,2222,14
26,2021-01-27,2160,2139,21
27,2021-01-28,2929,2913,16
28,2021-01-29,3246,3120,126
29,2021-01-30,3970,3874,96
30,2021-01-31,547,542,5
31,2021-02-01,3168,3105,63
32,2021-02-02,1532,1500,32
33,2021-02-03,3637,3565,72
34,2021-02-04,2274,2213,61
35,2021-02-05,73,71,2
36,2021-02-06,3966,3810,156
37,2021-02-07,4122,4099,23
38,2021-02-08,1760,1701,59
39,2021-02-09,264,260,4
40,2021-02-10,2700,2603,97
41,2021-02-11,2865,2766,99
42,2021-02-12,3349,3274,75
43,2021-02-13,500,499,1
44,2021-02-14,4393,4356,37
45,2021-02-15,2524,2494,30
46,2021-02-16,288,280,8
47,2021-02-17,2647,2633,14
48,2021-02-18,2735,2643,92
49,2021-02-19,861,821,40
50,2021-02-20,4455,4267,188
51,2021-02-21,4252,4225,27
52,2021-02-22,150,148,2
53,2021-02-23,68,68,0
54,2021-02-24,3714,3539,175
55,2021-02-25,4414,4258,156
56,2021-02-26,4337,4261,76
57,2021-02-27,628,611,17
58,2021-02-28,4290,4110,180
59,2021-03-01,2781,2657,124
60,2021-03-02,793,766,27
61,2021-03-03,3506,3402,104
62,2021-03-04,970,944,26
63,2021-03-05,547,522,25
64,2021-03-06,4457,4236,221
65,2021-03-07,2778,2732,46
66,2021-03-08,178,172,6
67,2021-03-09,650,640,10
68,2021-03-10,4440,4351,89
69,2021-03-11,438,426,12
70,2021-03-12,2274,2180,94
71,2021-03-13,2133,2088,45
72,2021-03-14,3051,2951,100
73,2021-03-15,4338,4222,116
74,2021-03-16,2758,2690,68
75,2021-03-17,1011,987,24
76,2021-03-18,4457,4457,0
77,2021-03-19,4806,4686,120
78,2021-03-20,2394,2325,69
79,2021-03-21,1866,1776,90
80,2021-03-22,1234,1184,50
81,2021-03-23,4815,4628,187
82,2021-03-24,3522,3367,155
83,2021-03-25,3906,3793,113
84,2021-03-26,3386,3280,106
85,2021-03-27,4620,4511,109
86,2021-03-28,1435,1435,0
87,2021-03-29,3889,3754,135
88,2021-03-30,4657,4439,218
89,2021-03-31,1379,1375,4
90,2021-04-01,3531,3380,151
91,2021-04-02,1195,1191,4
92,2021-04-03,187,187,0
93,2021-04-04,570,545,25
94,2021-04-05,257,254,3
95,2021-04-06,1028,1008,20
96,2021-04-07,2464,2349,115
97,2021-04-08,2469,2417,52
98,2021-04-09,1753,1699,54
99,2021-04-10,1000,999,1
100,2021-04-11,2986,2966,20
101,2021-04-12,4372,4210,162
102,2021-04-13,4551,4448,103
103,2021-04-14,909,902,7
104,2021-04-15,3588,3548,40
105,2021-04-16,4160,4039,121
106,2021-04-17,4411,4217,194
107,2021-04-18,2587,2509,78
108,2021-04-19,1612,1603,9
109,2021-04-20,1749,1744,5
110,2021-04-21,2396,2293,103
111,2021-04-22,1087,1075,12
112,2021-04-23,2830,2787,43
113,2021-04-24,627,627,0
114,2021-04-25,4847,4630,217
115,2021-04-26,173,173,0
116,2021-04-27,2865,2777,88
117,2021-04-28,3467,3358,109
118,2021-04-29,2551,2501,50
119,2021-04-30,218,218,0
120,2021-05-01,1072,1038,34
121,2021-05-02,4114,4038,76
122,2021-05-03,4894,4881,13
123,2021-05-04,813,800,13
124,2021-05-05,1251,1241,10
125,2021-05-06,4888,4700,188
126,2021-05-07,3765,3685,80
127,2021-05-08,3597,3559,38
128,2021-05-09,2119,2073,46
129,2021-05-10,4835,4833,2
130,2021-05-11,4704,4579,125
131,2021-05-12,987,978,9
132,2021-05-13,2696,2618,78
133,2021-05-14,1095,1071,24
134,2021-05-15,4650,4648,2
135,2021-05-16,2843,2778,65
136,2021-05-17,4441,4236,205
137,2021-05-18,1985,1941,44
138,2021-05-19,4863,4716,147
139,2021-05-20,2732,2727,5
140,2021-05-21,4839,4683,156
141,2021-05-22,4789,4742,47
142,2021-05-23,738,738,0
143,2021-05-24,4697,4606,91
144,2021-05-25,344,340,4
145,2021-05-26,4760,4757,3
146,2021-05-27,1368,1344,24
147,2021-05-28,1195,1146,49
148,2021-05-29,1919,1846,73
149,2021-05-30,2048,2025,23
150,2021-05-31,4473,4252,221
151,2021-06-01,148,144,4
152,2021-06-02,1509,1466,43
153,2021-06-03,4703,4700,3
154,2021-06-04,2922,2816,106
155,2021-06-05,2941,2803,138
