,date,total,successful,failed
0,2021-01-01,17607,17048,559
1,2021-01-02,36239,34390,1849
2,2021-01-03,39614,36021,3593
3,2021-01-04,32282,29386,2896
4,2021-01-05,26759,26524,235
5,2021-01-06,46811,43990,2821
6,2021-01-07,43477,40798,2679
7,2021-01-08,49763,47870,1893
8,2021-01-09,30177,27503,2674
9,2021-01-10,48808,48425,383
10,2021-01-11,2224,2022,202
11,2021-01-12,2566,2446,120
12,2021-01-13,36442,33536,2906
13,2021-01-14,17761,16636,1125
14,2021-01-15,41894,39275,2619
15,2021-01-16,35399,35142,257
16,2021-01-17,21875,21465,410
17,2021-01-18,3988,3867,121
18,2021-01-19,4796,4577,219
19,2021-01-20,48424,45170,3254
20,2021-01-21,21116,21006,110
21,2021-01-22,18159,17312,847
22,2021-01-23,44807,43002,1805
23,2021-01-24,48877,48465,412
24,2021-01-25,39815,38913,902
25,2021-01-26,15399,14400,999
26,2021-01-27,49249,44667,4582
27,2021-01-28,28514,27989,525
28,2021-01-29,10814,10775,39
29,2021-01-30,9209,8408,801
30,2021-01-31,36305,33666,2639
31,2021-02-01,39501,38975,526
32,2021-02-02,19481,17684,1797
33,2021-02-03,12470,11727,743
34,2021-02-04,26628,25726,902
35,2021-02-05,7964,7508,456
36,2021-02-06,48450,45127,3323
37,2021-02-07,16366,15541,825
38,2021-02-08,7129,6772,357
39,2021-02-09,32586,32145,441
40,2021-02-10,16155,15441,714
41,2021-02-11,10056,9775,281
42,2021-02-12,19824,18673,1151
43,2021-02-13,5599,5158,441
44,2021-02-14,18087,17857,230
45,2021-02-15,43563,41086,2477
46,2021-02-16,40462,40332,130
47,2021-02-17,36334,33668,2666
48,2021-02-18,36620,34042,2578
49,2021-02-19,16146,14939,1207
50,2021-02-20,22274,20468,1806
51,2021-02-21,34683,33178,1505
52,2021-02-22,17753,17488,265
53,2021-02-23,33167,30091,3076
54,2021-02-24,7199,6934,265
55,2021-02-25,15057,14737,320
56,2021-02-26,43747,43278,469
57,2021-02-27,13178,12664,514
58,2021-02-28,33981,30934,3047
59,2021-03-01,13851,13641,210
60,2021-03-02,38210,35758,2452
61,2021-03-03,2063,1930,133
62,2021-03-04,30865,29713,1152
63,2021-03-05,6574,6082,492
64,2021-03-06,47999,45138,2861
65,2021-03-07,8981,8744,237
66,2021-03-08,30448,29765,683
67,2021-03-09,25356,23374,1982
68,2021-03-10,1939,1905,34
69,2021-03-11,30588,30502,86
70,2021-03-12,29575,29495,80
71,2021-03-13,42874,41310,1564
72,2021-03-14,38413,36152,2261
73,2021-03-15,38326,35485,2841
74,2021-03-16,33416,32114,1302
75,2021-03-17,32762,31446,1316
76,2021-03-18,18025,16412,1613
77,2021-03-19,3823,3665,158
78,2021-03-20,17404,15869,1535
79,2021-03-21,29484,29420,64
