,date,minimum,maximum,average
0,2021-01-01,24,4370,24
1,2021-01-02,80,4054,85
2,2021-01-03,48,3158,101
3,2021-01-04,137,531,144
4,2021-01-05,20,4460,23
5,2021-01-06,119,3001,139
6,2021-01-07,91,3443,115
7,2021-01-08,156,3545,156
8,2021-01-09,125,3499,174
9,2021-01-10,97,4346,99
10,2021-01-11,39,4604,63
11,2021-01-12,95,1458,188
12,2021-01-13,67,1421,113
13,2021-01-14,68,225,88
14,2021-01-15,82,4892,121
15,2021-01-16,59,1385,166
16,2021-01-17,68,3187,183
17,2021-01-18,57,4150,58
18,2021-01-19,89,3236,138
19,2021-01-20,56,1611,163
20,2021-01-21,103,1005,179
21,2021-01-22,66,270,114
22,2021-01-23,30,3694,126
23,2021-01-24,78,852,105
24,2021-01-25,65,1630,171
25,2021-01-26,20,707,136
26,2021-01-27,76,1091,199
27,2021-01-28,50,3967,81
28,2021-01-29,78,1810,102
29,2021-01-30,148,4890,172
30,2021-01-31,28,3295,103
31,2021-02-01,30,2866,69
32,2021-02-02,36,795,38
33,2021-02-03,39,1447,104
34,2021-02-04,145,925,145
35,2021-02-05,181,1940,185
36,2021-02-06,65,2678,69
37,2021-02-07,106,3645,138
38,2021-02-08,60,3604,66
39,2021-02-09,24,2940,81
40,2021-02-10,181,3257,199
41,2021-02-11,109,2545,165
42,2021-02-12,24,1958,45
43,2021-02-13,22,1969,136
44,2021-02-14,20,233,25
45,2021-02-15,63,739,95
46,2021-02-16,63,731,123
47,2021-02-17,143,1621,157
48,2021-02-18,65,2555,112
49,2021-02-19,57,2120,119
50,2021-02-20,30,1781,38
51,2021-02-21,102,4984,179
52,2021-02-22,147,3336,187
53,2021-02-23,40,905,112
54,2021-02-24,25,4501,41
55,2021-02-25,110,3279,162
56,2021-02-26,67,2542,69
57,2021-02-27,123,2680,133
58,2021-02-28,27,4667,34
59,2021-03-01,20,1943,21
60,2021-03-02,120,3360,133
61,2021-03-03,183,3244,189
62,2021-03-04,76,4058,78
63,2021-03-05,20,1518,97
64,2021-03-06,66,779,86
65,2021-03-07,77,4986,191
66,2021-03-08,118,1851,139
67,2021-03-09,163,2348,178
68,2021-03-10,55,2222,126
69,2021-03-11,48,4540,54
70,2021-03-12,103,3275,195
71,2021-03-13,23,4024,24
