,date,total,successful,failed
0,2021-01-01,12754,11540,1214
1,2021-01-02,7553,7268,285
2,2021-01-03,34383,33137,1246
3,2021-01-04,28402,27917,485
4,2021-01-05,7703,7036,667
5,2021-01-06,29540,27171,2369
6,2021-01-07,18336,16971,1365
7,2021-01-08,4665,4573,92
8,2021-01-09,8808,7973,835
9,2021-01-10,4742,4676,66
10,2021-01-11,35171,34056,1115
11,2021-01-12,26551,25580,971
12,2021-01-13,7513,6929,584
13,2021-01-14,7974,7799,175
14,2021-01-15,6871,6586,285
15,2021-01-16,30358,29784,574
16,2021-01-17,1808,1747,61
17,2021-01-18,11658,10737,921
18,2021-01-19,15886,14778,1108
19,2021-01-20,49839,48868,971
20,2021-01-21,24787,22655,2132
21,2021-01-22,35516,32918,2598
22,2021-01-23,39795,36126,3669
23,2021-01-24,48217,43481,4736
24,2021-01-25,36024,32492,3532
25,2021-01-26,42414,39350,3064
26,2021-01-27,30300,29447,853
27,2021-01-28,13553,12419,1134
28,2021-01-29,49395,47947,1448
29,2021-01-30,24167,23051,1116
30,2021-01-31,37363,34421,2942
31,2021-02-01,11428,10632,796
32,2021-02-02,32096,30542,1554
33,2021-02-03,11472,11062,410
34,2021-02-04,43493,40923,2570
35,2021-02-05,23360,22861,499
36,2021-02-06,16693,16423,270
37,2021-02-07,43328,39800,3528
38,2021-02-08,29954,27098,2856
39,2021-02-09,28842,26319,2523
40,2021-02-10,35944,33396,2548
41,2021-02-11,42454,38485,3969
42,2021-02-12,33033,31438,1595
43,2021-02-13,41494,37663,3831
44,2021-02-14,37901,36215,1686
45,2021-02-15,16732,15181,1551
46,2021-02-16,25988,23479,2509
47,2021-02-17,47162,42817,4345
48,2021-02-18,23650,21961,1689
49,2021-02-19,37747,34971,2776
50,2021-02-20,19222,18991,231
51,2021-02-21,10114,9930,184
52,2021-02-22,10864,10248,616
53,2021-02-23,43057,42812,245
54,2021-02-24,46050,44335,1715
55,2021-02-25,32114,29981,2133
56,2021-02-26,24380,22022,2358
57,2021-02-27,5581,5413,168
58,2021-02-28,25003,23974,1029
59,2021-03-01,48583,47992,591
60,2021-03-02,31580,29536,2044
61,2021-03-03,20436,19703,733
62,2021-03-04,11552,11064,488
63,2021-03-05,32708,31553,1155
64,2021-03-06,12900,12430,470
65,2021-03-07,7340,6937,403
66,2021-03-08,23231,23081,150
67,2021-03-09,14201,13016,1185
68,2021-03-10,45914,44387,1527
69,2021-03-11,21845,20229,1616
70,2021-03-12,12961,12156,805
71,2021-03-13,40982,39686,1296
72,2021-03-14,37026,36243,783
73,2021-03-15,24611,23715,896
74,2021-03-16,23144,21451,1693
75,2021-03-17,14283,14215,68
76,2021-03-18,20817,19837,980
77,2021-03-19,9783,9478,305
78,2021-03-20,3975,3889,86
79,2021-03-21,20030,19363,667
80,2021-03-22,39982,39976,6
81,2021-03-23,38477,38386,91
82,2021-03-24,22591,20492,2099
83,2021-03-25,38559,37141,1418
84,2021-03-26,37679,36437,1242
85,2021-03-27,5731,5551,180
86,2021-03-28,48144,45209,2935
87,2021-03-29,49375,49137,238
88,2021-03-30,12108,10977,1131
89,2021-03-31,3572,3424,148
90,2021-04-01,38389,35868,2521
91,2021-04-02,9979,9812,167
92,2021-04-03,19643,19170,473
93,2021-04-04,23029,22169,860
94,2021-04-05,9385,9053,332
95,2021-04-06,49292,46673,2619
96,2021-04-07,45648,41659,3989
97,2021-04-08,16631,15882,749
98,2021-04-09,19154,18197,957
99,2021-04-10,12463,12286,177
100,2021-04-11,30299,28009,2290
101,2021-04-12,35078,34240,838
