,date,minimum,maximum,average
0,2021-01-01,64,2014,131
1,2021-01-02,33,1150,136
2,2021-01-03,57,1687,57
3,2021-01-04,50,1900,95
4,2021-01-05,31,3154,49
5,2021-01-06,26,4714,32
6,2021-01-07,121,2611,194
7,2021-01-08,35,1993,87
8,2021-01-09,41,1086,108
9,2021-01-10,51,4227,89
10,2021-01-11,74,4136,173
11,2021-01-12,67,1337,179
12,2021-01-13,28,3076,72
13,2021-01-14,86,4624,116
14,2021-01-15,47,1470,73
15,2021-01-16,69,4251,69
16,2021-01-17,120,2617,157
17,2021-01-18,69,961,181
18,2021-01-19,45,1289,144
19,2021-01-20,33,243,46
20,2021-01-21,62,2711,112
21,2021-01-22,90,2031,91
22,2021-01-23,76,3155,149
23,2021-01-24,22,3215,138
24,2021-01-25,130,3316,182
25,2021-01-26,20,1371,23
26,2021-01-27,60,3353,156
27,2021-01-28,24,1926,148
28,2021-01-29,99,1898,181
29,2021-01-30,52,4019,82
30,2021-01-31,117,397,138
31,2021-02-01,21,2087,52
32,2021-02-02,142,4972,187
33,2021-02-03,74,4317,150
34,2021-02-04,28,1173,82
35,2021-02-05,28,4314,165
36,2021-02-06,53,4024,191
37,2021-02-07,33,625,194
38,2021-02-08,94,1971,119
39,2021-02-09,35,2089,42
40,2021-02-10,28,1763,40
41,2021-02-11,70,2850,173
42,2021-02-12,78,1849,144
43,2021-02-13,78,2333,98
44,2021-02-14,87,1323,157
45,2021-02-15,31,1799,84
46,2021-02-16,44,1991,50
47,2021-02-17,151,695,172
48,2021-02-18,137,904,151
49,2021-02-19,78,1576,78
50,2021-02-20,118,4275,126
51,2021-02-21,50,2837,96
52,2021-02-22,35,877,60
53,2021-02-23,39,1539,55
54,2021-02-24,110,4182,155
55,2021-02-25,91,1485,196
56,2021-02-26,33,3398,186
57,2021-02-27,73,594,141
58,2021-02-28,96,2286,103
59,2021-03-01,98,4225,105
60,2021-03-02,156,611,158
61,2021-03-03,40,2149,192
62,2021-03-04,120,1537,189
63,2021-03-05,45,2097,127
64,2021-03-06,21,2412,21
65,2021-03-07,158,4698,179
66,2021-03-08,98,3292,164
67,2021-03-09,71,2189,94
68,2021-03-10,116,3479,142
69,2021-03-11,32,1953,80
70,2021-03-12,40,4178,75
71,2021-03-13,136,2786,140
72,2021-03-14,56,1967,80
73,2021-03-15,51,3894,130
74,2021-03-16,72,256,83
75,2021-03-17,21,2233,22
76,2021-03-18,81,4220,166
77,2021-03-19,20,4335,171
78,2021-03-20,28,2858,48
79,2021-03-21,23,4528,37
80,2021-03-22,32,248,61
81,2021-03-23,47,3773,49
82,2021-03-24,27,570,103
83,2021-03-25,106,4577,115
84,2021-03-26,107,4776,188
85,2021-03-27,60,955,151
86,2021-03-28,33,505,86
87,2021-03-29,24,1735,27
88,2021-03-30,165,1456,189
89,2021-03-31,46,4207,75
90,2021-04-01,157,1754,200
91,2021-04-02,142,2304,189
92,2021-04-03,43,2501,96
93,2021-04-04,30,3363,41
94,2021-04-05,121,3179,134
95,2021-04-06,85,2115,115
96,2021-04-07,107,1250,188
97,2021-04-08,73,4718,143
98,2021-04-09,36,1561,44
99,2021-04-10,52,1579,146
100,2021-04-11,23,3808,25
101,2021-04-12,78,4652,81
102,2021-04-13,40,90,64
103,2021-04-14,25,2021,32
104,2021-04-15,52,4094,189
105,2021-04-16,65,4043,113
106,2021-04-17,65,4899,73
107,2021-04-18,48,1696,188
108,2021-04-19,106,671,177
109,2021-04-20,31,3996,49
110,2021-04-21,95,2315,192
111,2021-04-22,70,2097,70
112,2021-04-23,21,4795,132
113,2021-04-24,35,1927,50
114,2021-04-25,111,4353,142
115,2021-04-26,148,2257,175
116,2021-04-27,20,3194,20
117,2021-04-28,65,1829,81
118,2021-04-29,36,4093,46
119,2021-04-30,85,3496,171
120,2021-05-01,57,2848,161
121,2021-05-02,21,1654,49
122,2021-05-03,62,1970,102
123,2021-05-04,60,4777,96
124,2021-05-05,61,1246,76
125,2021-05-06,20,3138,27
126,2021-05-07,133,4178,140
127,2021-05-08,25,4796,34
128,2021-05-09,35,3154,73
129,2021-05-10,74,4493,112
130,2021-05-11,45,2569,144
131,2021-05-12,30,477,109
132,2021-05-13,80,1580,103
133,2021-05-14,51,4728,153
134,2021-05-15,43,220,49
135,2021-05-16,56,3078,76
136,2021-05-17,73,3676,152
137,2021-05-18,20,3081,20
138,2021-05-19,20,737,23
139,2021-05-20,20,4307,54
140,2021-05-21,98,4419,120
141,2021-05-22,26,3269,99
142,2021-05-23,106,2947,116
143,2021-05-24,93,2563,188
144,2021-05-25,84,2382,151
145,2021-05-26,21,2983,89
146,2021-05-27,23,2817,50
147,2021-05-28,128,1452,190
148,2021-05-29,121,2692,122
149,2021-05-30,36,2254,59
150,2021-05-31,47,4925,200
151,2021-06-01,91,2968,183
152,2021-06-02,52,1736,77
153,2021-06-03,39,2856,143
154,2021-06-04,159,4438,176
155,2021-06-05,71,2346,125
156,2021-06-06,102,1388,151
157,2021-06-07,82,3302,160
158,2021-06-08,118,4951,183
159,2021-06-09,26,672,47
160,2021-06-10,85,3049,188
161,2021-06-11,59,2428,138
162,2021-06-12,20,3522,112
163,2021-06-13,27,3237,68
164,2021-06-14,29,2451,93
165,2021-06-15,104,479,113
166,2021-06-16,42,1405,45
167,2021-06-17,30,1793,117
168,2021-06-18,116,2810,175
169,2021-06-19,53,110,71
170,2021-06-20,108,501,179
171,2021-06-21,35,3135,87
172,2021-06-22,71,2420,78
173,2021-06-23,47,415,86
174,2021-06-24,22,1626,35
175,2021-06-25,30,3226,158
176,2021-06-26,23,3318,151
177,2021-06-27,54,2978,92
178,2021-06-28,48,2369,67
179,2021-06-29,99,3340,106
180,2021-06-30,47,4031,52
181,2021-07-01,107,3971,133
182,2021-07-02,102,1645,131
183,2021-07-03,52,2259,169
184,2021-07-04,44,887,139
185,2021-07-05,24,3566,63
186,2021-07-06,154,1729,177
187,2021-07-07,36,344,94
188,2021-07-08,97,1232,121
