,date,totalRequests,successfulRequests,failedRequests
0,2021-01-01,3508,3503,5
1,2021-01-02,4657,4599,58
2,2021-01-03,4982,4892,90
3,2021-01-04,2478,2468,10
4,2021-01-05,1217,1215,2
5,2021-01-06,112,111,1
6,2021-01-07,446,438,8
7,2021-01-08,777,765,12
8,2021-01-09,3868,3683,185
9,2021-01-10,1101,1047,54
10,2021-01-11,2656,2585,71
11,2021-01-12,3048,2900,148
12,2021-01-13,361,350,11
13,2021-01-14,2218,2155,63
14,2021-01-15,794,767,27
15,2021-01-16,1390,1349,41
16,2021-01-17,437,437,0
17,2021-01-18,2184,2115,69
18,2021-01-19,2604,2492,112
19,2021-01-20,373,371,2
20,2021-01-21,706,672,34
21,2021-01-22,4711,4480,231
22,2021-01-23,4847,4776,71
23,2021-01-24,1802,1775,27
24,2021-01-25,3683,3564,119
25,2021-01-26,1013,991,22
26,2021-01-27,4522,4319,203
27,2021-01-28,3797,3720,77
28,2021-01-29,2070,2067,3
29,2021-01-30,2176,2073,103
30,2021-01-31,1450,1379,71
31,2021-02-01,4878,4710,168
32,2021-02-02,3460,3387,73
33,2021-02-03,1518,1486,32
34,2021-02-04,3878,3812,66
35,2021-02-05,4843,4687,156
36,2021-02-06,158,156,2
37,2021-02-07,3512,3427,85
38,2021-02-08,3370,3237,133
39,2021-02-09,509,497,12
40,2021-02-10,229,225,4
41,2021-02-11,2157,2078,79
42,2021-02-12,3444,3320,124
43,2021-02-13,625,599,26
44,2021-02-14,486,476,10
45,2021-02-15,3689,3559,130
46,2021-02-16,3492,3364,128
47,2021-02-17,835,812,23
48,2021-02-18,1714,1655,59
49,2021-02-19,2518,2400,118
50,2021-02-20,4817,4782,35
51,2021-02-21,2618,2566,52
52,2021-02-22,4219,4091,128
53,2021-02-23,2110,2065,45
54,2021-02-24,3565,3551,14
55,2021-02-25,3137,3113,24
56,2021-02-26,1414,1387,27
57,2021-02-27,3952,3870,82
58,2021-02-28,2795,2710,85
59,2021-03-01,1096,1075,21
60,2021-03-02,1755,1727,28
61,2021-03-03,216,208,8
62,2021-03-04,2680,2548,132
63,2021-03-05,109,105,4
64,2021-03-06,454,441,13
65,2021-03-07,1905,1857,48
66,2021-03-08,4286,4209,77
67,2021-03-09,4125,4088,37
68,2021-03-10,1586,1552,34
69,2021-03-11,2393,2328,65
70,2021-03-12,4889,4874,15
71,2021-03-13,4365,4182,183
72,2021-03-14,1966,1876,90
73,2021-03-15,1535,1521,14
74,2021-03-16,903,883,20
75,2021-03-17,3017,2993,24
76,2021-03-18,2033,1935,98
77,2021-03-19,3425,3287,138
78,2021-03-20,1722,1662,60
79,2021-03-21,3098,3080,18
80,2021-03-22,750,723,27
81,2021-03-23,4812,4773,39
82,2021-03-24,950,937,13
83,2021-03-25,2096,2065,31
84,2021-03-26,1586,1565,21
85,2021-03-27,3658,3643,15
86,2021-03-28,139,139,0
87,2021-03-29,1363,1360,3
88,2021-03-30,1423,1401,22
89,2021-03-31,1739,1693,46
90,2021-04-01,3648,3470,178
91,2021-04-02,4394,4304,90
