,date,total,successful,failed
0,2021-01-01,19882,18755,1127
1,2021-01-02,27248,26588,660
2,2021-01-03,13311,12761,550
3,2021-01-04,39012,35830,3182
4,2021-01-05,24475,23243,1232
5,2021-01-06,47509,46628,881
6,2021-01-07,12934,12789,145
7,2021-01-08,29773,27216,2557
8,2021-01-09,43267,39712,3555
9,2021-01-10,28907,27103,1804
10,2021-01-11,26603,24513,2090
11,2021-01-12,3230,3091,139
12,2021-01-13,46659,46422,237
13,2021-01-14,7812,7483,329
14,2021-01-15,38797,37800,997
15,2021-01-16,12235,12046,189
16,2021-01-17,13855,13062,793
17,2021-01-18,31203,29099,2104
18,2021-01-19,14770,14337,433
19,2021-01-20,19065,18439,626
20,2021-01-21,24456,22178,2278
21,2021-01-22,5457,5022,435
22,2021-01-23,36492,33076,3416
23,2021-01-24,3757,3508,249
24,2021-01-25,33805,32302,1503
25,2021-01-26,7385,6834,551
26,2021-01-27,18556,18316,240
27,2021-01-28,46146,43755,2391
28,2021-01-29,49683,47648,2035
29,2021-01-30,3086,3054,32
30,2021-01-31,15685,14347,1338
31,2021-02-01,17733,17085,648
32,2021-02-02,42303,39783,2520
33,2021-02-03,31205,30415,790
34,2021-02-04,2713,2470,243
35,2021-02-05,24455,22723,1732
36,2021-02-06,5717,5408,309
37,2021-02-07,12322,11475,847
38,2021-02-08,11769,11505,264
39,2021-02-09,13302,12657,645
40,2021-02-10,19880,18243,1637
41,2021-02-11,44874,43439,1435
42,2021-02-12,20111,18764,1347
43,2021-02-13,21353,21316,37
44,2021-02-14,28910,26091,2819
45,2021-02-15,44635,40877,3758
46,2021-02-16,13839,13001,838
47,2021-02-17,35867,34094,1773
48,2021-02-18,20336,20243,93
49,2021-02-19,28306,25726,2580
50,2021-02-20,16975,16259,716
51,2021-02-21,40179,38596,1583
52,2021-02-22,26632,25813,819
53,2021-02-23,24742,22908,1834
54,2021-02-24,10676,10381,295
55,2021-02-25,39520,35883,3637
56,2021-02-26,5160,5121,39
57,2021-02-27,11631,10577,1054
58,2021-02-28,40572,37126,3446
59,2021-03-01,34860,31588,3272
60,2021-03-02,27207,26196,1011
61,2021-03-03,37624,34371,3253
62,2021-03-04,30328,29336,992
63,2021-03-05,46404,43477,2927
64,2021-03-06,348,325,23
65,2021-03-07,40954,38237,2717
66,2021-03-08,15946,14419,1527
67,2021-03-09,33305,32247,1058
68,2021-03-10,355,334,21
69,2021-03-11,7370,6881,489
70,2021-03-12,31373,31227,146
71,2021-03-13,1345,1344,1
72,2021-03-14,1683,1620,63
73,2021-03-15,22775,22478,297
74,2021-03-16,44988,40596,4392
75,2021-03-17,39439,36145,3294
76,2021-03-18,8545,8023,522
77,2021-03-19,43467,41663,1804
