,date,minimum,maximum,average
0,2021-01-01,79,4641,164
1,2021-01-02,34,52,34
2,2021-01-03,101,597,125
3,2021-01-04,60,3682,82
4,2021-01-05,76,3983,91
5,2021-01-06,26,3831,139
6,2021-01-07,110,2749,142
7,2021-01-08,21,2345,27
8,2021-01-09,140,2185,167
9,2021-01-10,93,2373,140
10,2021-01-11,30,3676,67
11,2021-01-12,181,4040,183
12,2021-01-13,69,2324,175
13,2021-01-14,196,4197,199
14,2021-01-15,115,1981,173
15,2021-01-16,31,3260,64
16,2021-01-17,89,651,91
17,2021-01-18,175,2678,190
18,2021-01-19,45,815,51
19,2021-01-20,43,229,80
20,2021-01-21,44,1211,44
21,2021-01-22,42,776,51
22,2021-01-23,95,205,191
23,2021-01-24,60,959,89
24,2021-01-25,26,3502,39
25,2021-01-26,26,4558,26
26,2021-01-27,109,3886,113
27,2021-01-28,81,2619,104
28,2021-01-29,93,1235,141
29,2021-01-30,32,4119,53
30,2021-01-31,128,3097,188
31,2021-02-01,20,2055,65
32,2021-02-02,32,572,109
33,2021-02-03,22,3475,59
34,2021-02-04,54,1412,132
35,2021-02-05,26,1954,66
36,2021-02-06,34,1965,92
37,2021-02-07,41,2636,109
38,2021-02-08,24,4894,29
39,2021-02-09,145,4919,157
40,2021-02-10,54,4904,110
41,2021-02-11,105,1655,182
42,2021-02-12,23,1062,24
43,2021-02-13,119,1151,143
44,2021-02-14,35,3889,35
45,2021-02-15,91,4590,107
46,2021-02-16,50,1019,83
47,2021-02-17,47,4236,182
48,2021-02-18,31,2607,49
49,2021-02-19,88,4769,158
50,2021-02-20,105,305,129
51,2021-02-21,76,2287,106
52,2021-02-22,96,1651,117
53,2021-02-23,39,4676,82
54,2021-02-24,137,4825,199
55,2021-02-25,38,2511,101
56,2021-02-26,72,4678,185
57,2021-02-27,44,3256,92
58,2021-02-28,25,1687,79
59,2021-03-01,55,888,73
60,2021-03-02,20,1101,40
61,2021-03-03,40,3232,61
62,2021-03-04,162,481,175
63,2021-03-05,48,4001,115
64,2021-03-06,79,2135,159
