,date,totalRequests,successfulRequests,failedRequests
0,2021-01-01,1525,1507,18
1,2021-01-02,2531,2484,47
2,2021-01-03,1678,1620,58
3,2021-01-04,130,126,4
4,2021-01-05,2276,2268,8
5,2021-01-06,3032,2981,51
6,2021-01-07,115,113,2
7,2021-01-08,2265,2255,10
8,2021-01-09,2962,2860,102
9,2021-01-10,2631,2613,18
10,2021-01-11,4573,4404,169
11,2021-01-12,2883,2879,4
12,2021-01-13,1091,1062,29
13,2021-01-14,1060,1027,33
14,2021-01-15,3292,3174,118
15,2021-01-16,851,844,7
16,2021-01-17,3094,3076,18
17,2021-01-18,3006,2859,147
18,2021-01-19,1639,1604,35
19,2021-01-20,1042,1026,16
20,2021-01-21,840,813,27
21,2021-01-22,4016,3964,52
22,2021-01-23,4866,4789,77
23,2021-01-24,1380,1360,20
24,2021-01-25,4569,4361,208
25,2021-01-26,4896,4886,10
26,2021-01-27,1097,1047,50
27,2021-01-28,2951,2913,38
28,2021-01-29,1648,1615,33
29,2021-01-30,3445,3396,49
30,2021-01-31,1475,1467,8
31,2021-02-01,4330,4317,13
32,2021-02-02,3035,2974,61
33,2021-02-03,1479,1422,57
34,2021-02-04,2730,2623,107
35,2021-02-05,1872,1832,40
36,2021-02-06,1999,1970,29
37,2021-02-07,4474,4377,97
38,2021-02-08,3936,3772,164
39,2021-02-09,2935,2866,69
40,2021-02-10,4257,4059,198
41,2021-02-11,3288,3248,40
42,2021-02-12,4014,3840,174
43,2021-02-13,4366,4307,59
44,2021-02-14,1988,1972,16
45,2021-02-15,2699,2651,48
46,2021-02-16,1126,1076,50
47,2021-02-17,1615,1574,41
48,2021-02-18,2036,1971,65
49,2021-02-19,1459,1450,9
50,2021-02-20,4288,4167,121
51,2021-02-21,4280,4108,172
52,2021-02-22,1723,1692,31
53,2021-02-23,2574,2553,21
54,2021-02-24,1895,1870,25
55,2021-02-25,1546,1477,69
56,2021-02-26,3330,3235,95
57,2021-02-27,3715,3567,148
58,2021-02-28,3502,3367,135
59,2021-03-01,4861,4693,168
60,2021-03-02,2708,2697,11
61,2021-03-03,2586,2545,41
62,2021-03-04,4155,4087,68
63,2021-03-05,88,87,1
64,2021-03-06,2410,2408,2
65,2021-03-07,113,111,2
66,2021-03-08,2604,2594,10
67,2021-03-09,4886,4747,139
68,2021-03-10,3156,3072,84
69,2021-03-11,2148,2078,70
70,2021-03-12,612,594,18
71,2021-03-13,1680,1662,18
72,2021-03-14,4560,4379,181
73,2021-03-15,2886,2817,69
74,2021-03-16,4718,4493,225
75,2021-03-17,2887,2860,27
76,2021-03-18,3978,3928,50
77,2021-03-19,3956,3851,105
78,2021-03-20,3679,3665,14
79,2021-03-21,2938,2904,34
80,2021-03-22,4749,4548,201
81,2021-03-23,2804,2753,51
82,2021-03-24,3836,3785,51
83,2021-03-25,2616,2489,127
84,2021-03-26,3947,3751,196
85,2021-03-27,3517,3509,8
86,2021-03-28,932,893,39
87,2021-03-29,200,193,7
88,2021-03-30,193,187,6
89,2021-03-31,4871,4799,72
90,2021-04-01,1555,1530,25
91,2021-04-02,3781,3642,139
92,2021-04-03,1768,1724,44
93,2021-04-04,2152,2080,72
94,2021-04-05,4499,4454,45
95,2021-04-06,4617,4426,191
96,2021-04-07,2762,2676,86
97,2021-04-08,3393,3357,36
98,2021-04-09,2279,2244,35
99,2021-04-10,4224,4026,198
100,2021-04-11,3052,2998,54
101,2021-04-12,3839,3774,65
102,2021-04-13,3391,3382,9
103,2021-04-14,2005,1931,74
104,2021-04-15,3154,3044,110
105,2021-04-16,2377,2330,47
106,2021-04-17,684,664,20
107,2021-04-18,3500,3457,43
108,2021-04-19,2140,2087,53
109,2021-04-20,1398,1397,1
110,2021-04-21,537,524,13
111,2021-04-22,3454,3327,127
112,2021-04-23,3698,3564,134
113,2021-04-24,311,305,6
114,2021-04-25,374,357,17
115,2021-04-26,3000,2998,2
116,2021-04-27,2441,2397,44
117,2021-04-28,2685,2612,73
118,2021-04-29,3594,3588,6
119,2021-04-30,3578,3561,17
120,2021-05-01,1645,1642,3
121,2021-05-02,1763,1691,72
122,2021-05-03,2901,2844,57
123,2021-05-04,2224,2115,109
124,2021-05-05,4424,4290,134
125,2021-05-06,3310,3169,141
126,2021-05-07,1114,1060,54
127,2021-05-08,1629,1570,59
128,2021-05-09,2349,2247,102
129,2021-05-10,1804,1732,72
130,2021-05-11,839,822,17
131,2021-05-12,2300,2282,18
132,2021-05-13,116,111,5
133,2021-05-14,4952,4880,72
134,2021-05-15,4948,4829,119
135,2021-05-16,29,29,0
136,2021-05-17,478,472,6
137,2021-05-18,1093,1041,52
138,2021-05-19,471,455,16
139,2021-05-20,2631,2605,26
140,2021-05-21,4628,4595,33
141,2021-05-22,2061,2036,25
