,date,total,successful,failed
0,2021-01-01,28369,26189,2180
1,2021-01-02,10688,10659,29
2,2021-01-03,3131,3100,31
3,2021-01-04,37253,33826,3427
4,2021-01-05,26527,25547,980
5,2021-01-06,43814,42315,1499
6,2021-01-07,48310,46715,1595
7,2021-01-08,43570,40587,2983
8,2021-01-09,13784,12791,993
9,2021-01-10,9040,8874,166
10,2021-01-11,27780,25600,2180
11,2021-01-12,36639,35308,1331
12,2021-01-13,43906,40030,3876
13,2021-01-14,29765,27269,2496
14,2021-01-15,31220,28636,2584
15,2021-01-16,1297,1234,63
16,2021-01-17,27385,24751,2634
17,2021-01-18,930,862,68
18,2021-01-19,16768,15772,996
19,2021-01-20,48194,46338,1856
20,2021-01-21,41446,40160,1286
21,2021-01-22,659,629,30
22,2021-01-23,40467,38968,1499
23,2021-01-24,15873,14894,979
24,2021-01-25,45446,45102,344
25,2021-01-26,43283,41955,1328
26,2021-01-27,38297,35539,2758
27,2021-01-28,29420,28221,1199
28,2021-01-29,45566,42433,3133
29,2021-01-30,49043,46064,2979
30,2021-01-31,14243,13145,1098
31,2021-02-01,27229,25874,1355
32,2021-02-02,12538,12285,253
33,2021-02-03,7863,7598,265
34,2021-02-04,29401,27773,1628
35,2021-02-05,28938,26915,2023
36,2021-02-06,36830,35551,1279
37,2021-02-07,16650,16080,570
38,2021-02-08,36053,34296,1757
39,2021-02-09,9502,8596,906
40,2021-02-10,39350,37637,1713
41,2021-02-11,21297,20124,1173
42,2021-02-12,35130,32324,2806
43,2021-02-13,15763,14892,871
44,2021-02-14,32587,30110,2477
45,2021-02-15,5495,5217,278
46,2021-02-16,43150,39422,3728
47,2021-02-17,7134,7018,116
48,2021-02-18,41424,37831,3593
49,2021-02-19,26892,25803,1089
50,2021-02-20,19952,19438,514
51,2021-02-21,30351,29133,1218
52,2021-02-22,23212,22711,501
53,2021-02-23,38037,36179,1858
54,2021-02-24,41916,38863,3053
55,2021-02-25,22083,20737,1346
56,2021-02-26,26718,25433,1285
57,2021-02-27,3715,3423,292
58,2021-02-28,2754,2657,97
59,2021-03-01,32259,29521,2738
60,2021-03-02,23231,21627,1604
61,2021-03-03,32982,32543,439
62,2021-03-04,45055,43340,1715
63,2021-03-05,15680,15049,631
64,2021-03-06,20373,20080,293
65,2021-03-07,1159,1089,70
66,2021-03-08,27713,25605,2108
67,2021-03-09,38819,35924,2895
68,2021-03-10,13384,12189,1195
69,2021-03-11,25783,23278,2505
70,2021-03-12,22629,21777,852
71,2021-03-13,30071,28167,1904
72,2021-03-14,31870,28821,3049
73,2021-03-15,29978,27304,2674
74,2021-03-16,32356,30737,1619
75,2021-03-17,48233,47149,1084
76,2021-03-18,36257,34520,1737
77,2021-03-19,35673,32268,3405
78,2021-03-20,43503,41615,1888
79,2021-03-21,35235,33578,1657
80,2021-03-22,34804,34193,611
81,2021-03-23,33290,29967,3323
82,2021-03-24,39784,36439,3345
83,2021-03-25,35604,34703,901
84,2021-03-26,17854,16829,1025
85,2021-03-27,46800,44844,1956
86,2021-03-28,30352,29918,434
87,2021-03-29,4403,4119,284
88,2021-03-30,9916,9145,771
89,2021-03-31,22390,21983,407
90,2021-04-01,27693,25518,2175
91,2021-04-02,41508,38143,3365
92,2021-04-03,23214,21738,1476
93,2021-04-04,21859,20813,1046
94,2021-04-05,23438,23245,193
95,2021-04-06,20569,20294,275
96,2021-04-07,34824,32459,2365
97,2021-04-08,33554,33323,231
98,2021-04-09,47976,43246,4730
99,2021-04-10,32851,32337,514
100,2021-04-11,20223,19055,1168
101,2021-04-12,20253,18403,1850
102,2021-04-13,19478,17556,1922
103,2021-04-14,19520,19187,333
104,2021-04-15,35733,33493,2240
105,2021-04-16,49592,44799,4793
106,2021-04-17,37465,34840,2625
107,2021-04-18,14302,14181,121
108,2021-04-19,20310,20089,221
109,2021-04-20,16923,16849,74
110,2021-04-21,45506,44928,578
111,2021-04-22,43606,43182,424
112,2021-04-23,39256,36995,2261
113,2021-04-24,3125,3036,89
114,2021-04-25,38837,35874,2963
115,2021-04-26,47853,44677,3176
116,2021-04-27,4163,4107,56
117,2021-04-28,12696,11686,1010
118,2021-04-29,23149,22867,282
119,2021-04-30,31661,30345,1316
120,2021-05-01,43727,43278,449
121,2021-05-02,6034,5613,421
122,2021-05-03,4760,4343,417
123,2021-05-04,45206,42462,2744
124,2021-05-05,17523,16721,802
125,2021-05-06,2140,2038,102
126,2021-05-07,12480,12372,108
127,2021-05-08,2245,2234,11
128,2021-05-09,22082,21684,398
129,2021-05-10,21146,20510,636
130,2021-05-11,30489,28692,1797
131,2021-05-12,42703,42333,370
132,2021-05-13,40306,36689,3617
133,2021-05-14,13275,13105,170
134,2021-05-15,40956,37495,3461
135,2021-05-16,27320,25661,1659
136,2021-05-17,31767,29608,2159
137,2021-05-18,21784,20374,1410
138,2021-05-19,27963,26827,1136
139,2021-05-20,6042,5472,570
140,2021-05-21,29957,27827,2130
141,2021-05-22,24835,22769,2066
142,2021-05-23,31126,28614,2512
143,2021-05-24,28761,27988,773
144,2021-05-25,36849,36625,224
145,2021-05-26,30209,30077,132
146,2021-05-27,28370,27651,719
147,2021-05-28,33860,30498,3362
148,2021-05-29,33271,30702,2569
149,2021-05-30,33643,31703,1940
150,2021-05-31,22087,20558,1529
151,2021-06-01,14671,14021,650
152,2021-06-02,27971,26270,1701
153,2021-06-03,47768,43546,4222
154,2021-06-04,25150,24926,224
155,2021-06-05,40368,39723,645
156,2021-06-06,10841,10173,668
157,2021-06-07,28795,26305,2490
158,2021-06-08,46225,45205,1020
159,2021-06-09,35348,34047,1301
160,2021-06-10,27209,24967,2242
161,2021-06-11,27902,26426,1476
162,2021-06-12,779,725,54
163,2021-06-13,39469,39465,4
164,2021-06-14,184,176,8
165,2021-06-15,32366,30712,1654
166,2021-06-16,23260,23094,166
167,2021-06-17,26988,25892,1096
168,2021-06-18,1531,1464,67
169,2021-06-19,22332,20923,1409
170,2021-06-20,8067,7479,588
171,2021-06-21,39313,36831,2482
172,2021-06-22,44799,41250,3549
173,2021-06-23,12813,12144,669
174,2021-06-24,47139,43717,3422
175,2021-06-25,24488,23403,1085
176,2021-06-26,26243,26220,23
177,2021-06-27,44645,40446,4199
178,2021-06-28,33797,31324,2473
179,2021-06-29,28939,27651,1288
180,2021-06-30,29746,27288,2458
181,2021-07-01,1405,1336,69
182,2021-07-02,5510,5384,126
183,2021-07-03,49813,49043,770
184,2021-07-04,26534,24697,1837
185,2021-07-05,46422,44482,1940
186,2021-07-06,15457,14273,1184
187,2021-07-07,7274,6589,685
188,2021-07-08,11349,11119,230
189,2021-07-09,8474,7853,621
190,2021-07-10,10627,10160,467
191,2021-07-11,29291,27334,1957
192,2021-07-12,37141,36145,996
193,2021-07-13,46918,44820,2098
194,2021-07-14,4545,4265,280
195,2021-07-15,35149,32007,3142
196,2021-07-16,20676,18685,1991
197,2021-07-17,38737,35920,2817
198,2021-07-18,435,405,30
199,2021-07-19,35377,33566,1811
200,2021-07-20,22633,21512,1121
201,2021-07-21,21102,19950,1152
202,2021-07-22,37516,34050,3466
203,2021-07-23,20759,20535,224
204,2021-07-24,25524,23788,1736
205,2021-07-25,22902,21354,1548
206,2021-07-26,15839,14482,1357
207,2021-07-27,13592,13120,472
208,2021-07-28,29986,27274,2712
209,2021-07-29,38432,36023,2409
210,2021-07-30,5975,5961,14
211,2021-07-31,16671,15825,846
212,2021-08-01,9894,9332,562
213,2021-08-02,10705,10100,605
214,2021-08-03,29085,26356,2729
215,2021-08-04,31771,29340,2431
216,2021-08-05,2125,2107,18
217,2021-08-06,41173,40456,717
218,2021-08-07,42795,41091,1704
219,2021-08-08,48750,46037,2713
220,2021-08-09,24277,22342,1935
221,2021-08-10,35184,34497,687
222,2021-08-11,4191,3934,257
223,2021-08-12,24468,23161,1307
224,2021-08-13,24665,23795,870
225,2021-08-14,507,489,18
226,2021-08-15,25216,24614,602
227,2021-08-16,1964,1959,5
228,2021-08-17,3835,3658,177
229,2021-08-18,8889,8481,408
230,2021-08-19,3328,3200,128
231,2021-08-20,21315,20183,1132
232,2021-08-21,20399,18904,1495
233,2021-08-22,36504,34313,2191
234,2021-08-23,19286,17376,1910
235,2021-08-24,38334,38252,82
236,2021-08-25,15362,14033,1329
237,2021-08-26,9820,9006,814
238,2021-08-27,17486,17087,399
239,2021-08-28,1304,1200,104
240,2021-08-29,23902,21637,2265
241,2021-08-30,2892,2759,133
242,2021-08-31,26403,24254,2149
243,2021-09-01,49681,49415,266
244,2021-09-02,21672,21079,593
