,date,minimum,maximum,average
0,2021-01-01,49,3664,196
1,2021-01-02,109,753,129
2,2021-01-03,54,3702,152
3,2021-01-04,23,2212,24
4,2021-01-05,51,164,73
5,2021-01-06,83,2932,115
6,2021-01-07,38,981,173
7,2021-01-08,84,2634,159
8,2021-01-09,21,2383,72
9,2021-01-10,25,4444,85
10,2021-01-11,174,3405,193
11,2021-01-12,161,3993,163
12,2021-01-13,116,1760,151
13,2021-01-14,124,4384,171
14,2021-01-15,153,4721,171
15,2021-01-16,20,4440,25
16,2021-01-17,99,2498,117
17,2021-01-18,128,4776,132
18,2021-01-19,73,1748,88
19,2021-01-20,35,2777,38
20,2021-01-21,75,4314,99
21,2021-01-22,40,3136,172
22,2021-01-23,53,1067,112
23,2021-01-24,34,2354,190
24,2021-01-25,64,4261,107
25,2021-01-26,42,2752,43
26,2021-01-27,33,4885,49
27,2021-01-28,89,336,165
28,2021-01-29,22,3186,156
29,2021-01-30,97,1615,116
30,2021-01-31,28,4430,64
31,2021-02-01,95,4070,121
32,2021-02-02,25,2307,32
33,2021-02-03,100,3245,107
34,2021-02-04,101,2622,116
35,2021-02-05,32,3667,90
36,2021-02-06,55,416,137
37,2021-02-07,28,2891,48
38,2021-02-08,44,3702,55
39,2021-02-09,53,3960,103
40,2021-02-10,69,4340,176
41,2021-02-11,60,3931,135
42,2021-02-12,49,4378,112
43,2021-02-13,33,1760,69
44,2021-02-14,47,4096,157
45,2021-02-15,125,2353,174
46,2021-02-16,61,2546,157
47,2021-02-17,59,4064,63
48,2021-02-18,30,1315,197
49,2021-02-19,38,4559,41
50,2021-02-20,32,1779,54
51,2021-02-21,147,4738,199
52,2021-02-22,55,3127,101
53,2021-02-23,24,4590,26
54,2021-02-24,150,4459,167
55,2021-02-25,61,1700,81
56,2021-02-26,22,2782,52
57,2021-02-27,25,4116,31
58,2021-02-28,22,3061,26
59,2021-03-01,22,2025,98
60,2021-03-02,130,2320,166
61,2021-03-03,84,3529,132
62,2021-03-04,38,3595,114
63,2021-03-05,69,4385,124
64,2021-03-06,55,2114,64
65,2021-03-07,75,2369,99
66,2021-03-08,43,375,125
67,2021-03-09,105,2540,120
68,2021-03-10,170,679,189
69,2021-03-11,55,3111,106
70,2021-03-12,53,4311,129
71,2021-03-13,76,250,131
72,2021-03-14,68,358,116
73,2021-03-15,58,3571,87
74,2021-03-16,62,4281,128
75,2021-03-17,22,2625,162
76,2021-03-18,77,3596,160
77,2021-03-19,85,4584,129
78,2021-03-20,60,2189,73
79,2021-03-21,42,1218,100
80,2021-03-22,22,2998,51
81,2021-03-23,27,3446,30
82,2021-03-24,51,3783,123
83,2021-03-25,49,2409,51
84,2021-03-26,55,477,64
85,2021-03-27,60,2246,92
86,2021-03-28,37,4408,37
87,2021-03-29,174,1487,188
88,2021-03-30,80,250,125
89,2021-03-31,55,238,87
90,2021-04-01,126,1774,154
91,2021-04-02,45,4962,47
92,2021-04-03,158,2320,190
93,2021-04-04,31,822,79
94,2021-04-05,108,4067,164
95,2021-04-06,124,1806,173
96,2021-04-07,28,700,119
97,2021-04-08,54,229,83
98,2021-04-09,20,1437,25
